*******************************************************************************
 Revised: Nov 23, 2015     Spitzer Space Telescope (SST) / (Sun)            -79 
                              http://spitzer.caltech.edu/

 Spitzer Space Telescope 
  Launched: Aug 25, 2003.
  Renamed : Dec 18, 2003 (formerly "SIRTF": Space Infrared Telescope Facility)

 EXTENDED MISSION (2009-present):
  Cryogen depletion is expected to occur in April 2009. A 2-year extended 
  "warm" mission will continue operating the 3.6 and 4.5 micron channels on the
  IRAC instrument with expected sensitivity unchanged from performance in the 
  cryogenic mission. The longer wavelength IRAC channels (5.6 and 8.0 microns) 
  and the MIPS and IRS instruments will be unavailable.

 PRIME MISSION (2003-2009):
  Spitzer will obtain images and spectra by detecting infrared (heat) energy, 
  having wavelengths of 3 and 180 microns, radiated by objects in space.  Most
  of this infrared radiation is blocked by the Earth's atmosphere and cannot be
  observed from the ground.  The telescope must be cooled to near absolute zero
  (-459 degrees F, or -273 degrees Celsius) to record infrared from distant 
  regions of space without interference from the telescope's own heat.

 SPACECRAFT:
   0.85-meter telescope 
   3 cryogenically-cooled science instruments
   2 solar panels composed of 392 solar cells, producing 427 Watts. 
   Each solar cell is 5.5 x 6.5 cm. Each panel is 50% covered by solar cells,
    and 50% covered by optical reflectors to reduce panel temp to 330 K.
   Spitzer cannot point more than 120 degrees away from the sun and maintain
    adequate power levels.

 SPACECRAFT TRAJECTORY:
   Post-launch trajectory "sst_030825_151123_200101"

   This orbit solution is based on 2-way doppler tracking data through 
   2015-Nov-20.  The trajectory after that date is the nominal prediction.
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Fri Jun 24 05:05:02 2016 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Spitzer Space Telescope (-79)   {source: sst}
Center body name: Earth (399)                     {source: sst}
Center-site name: GEOCENTRIC
*******************************************************************************
Start time      : A.D. 2014-Jan-01 00:00:00.0000 UT      
Stop  time      : A.D. 2018-Jan-01 00:00:00.0000 UT      
Step-size       : 1440 minutes
*******************************************************************************
Target pole/equ : No model available
Target radii    : (unavailable)                                                
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center pole/equ : High-precision EOP model        {East-longitude +}
Center radii    : 6378.1 x 6378.1 x 6356.8 km     {Equator, meridian, pole}    
Target primary  : Earth
Vis. interferer : MOON (R_eq= 1737.400) km        {source: sst}
Rel. light bend : Sun, EARTH                      {source: sst}
Rel. lght bnd GM: 1.3271E+11, 3.9860E+05 km^3/s^2                              
Atmos refraction: NO (AIRLESS)
RA format       : DEG
Time format     : JD  
EOP file        : eop.160623.p160914                                           
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2016-JUN-23. PREDICTS-> 2016-SEP-13
Units conversion: 1 au= 149597870.700 km, c= 299792.458 km/s, 1 day= 86400.0 s 
Table cut-offs 1: Elevation (-90.0deg=NO ),Airmass (>38.000=NO), Daylight (NO )
Table cut-offs 2: Solar Elongation (  0.0,180.0=NO ),Local Hour Angle( 0.0=NO )
*******************************************************************************
Date_________JDUT     R.A._(J2000.0)_DEC.            delta      deldot
**********************************************************************
$$SOE
2456658.500000000     334.70051  -9.58126 1.25064128945121   1.4379008
2456659.500000000     335.62380  -9.22316 1.25146824690799   1.4320659
2456660.500000000     336.54516  -8.86257 1.25229352088077   1.4254544
2456661.500000000     337.46467  -8.49974 1.25311479275806   1.4182402
2456662.500000000     338.38237  -8.13478 1.25393177120727   1.4106205
2456663.500000000     339.29832  -7.76780 1.25474427663414   1.4027801
2456664.500000000     340.21256  -7.39890 1.25555222691701   1.3948693
2456665.500000000     341.12517  -7.02817 1.25635561485622   1.3869970
2456666.500000000     342.03620  -6.65572 1.25715448558960   1.3792376
2456667.500000000     342.94572  -6.28164 1.25794891700878   1.3716310
2456668.500000000     343.85379  -5.90604 1.25873900535750   1.3642003
2456669.500000000     344.76048  -5.52902 1.25952485448153   1.3569524
2456670.500000000     345.66588  -5.15067 1.26030657074184   1.3498897
2456671.500000000     346.57005  -4.77108 1.26108425850739   1.3429983
2456672.500000000     347.47309  -4.39035 1.26185801031948   1.3362598
2456673.500000000     348.37506  -4.00858 1.26262790883843   1.3296500
2456674.500000000     349.27605  -3.62586 1.26339401880318   1.3231354
2456675.500000000     350.17616  -3.24228 1.26415638397478   1.3166755
2456676.500000000     351.07546  -2.85794 1.26491502252369   1.3102227
2456677.500000000     351.97405  -2.47292 1.26566992275094   1.3037213
2456678.500000000     352.87201  -2.08732 1.26642103907845   1.2971097
2456679.500000000     353.76945  -1.70124 1.26716828867081   1.2903200
2456680.500000000     354.66644  -1.31475 1.26791154699500   1.2832759
2456681.500000000     355.56308  -0.92796 1.26865064134545   1.2758856
2456682.500000000     356.45946  -0.54096 1.26938534332243   1.2680485
2456683.500000000     357.35569  -0.15383 1.27011536252944   1.2596503
2456684.500000000     358.25184   0.23333 1.27084033918140   1.2505695
2456685.500000000     359.14801   0.62043 1.27155984797483   1.2406979
2456686.500000000       0.04428   1.00738 1.27227340472119   1.2299508
2456687.500000000       0.94074   1.39407 1.27298048900521   1.2182886
2456688.500000000       1.83747   1.78041 1.27368058796033   1.2057764
2456689.500000000       2.73452   2.16631 1.27437323985439   1.1925366
2456690.500000000       3.63199   2.55163 1.27505982427157   1.1787491
2456691.500000000       4.52991   2.93633 1.27573657784552   1.1645669
2456692.500000000       5.42836   3.32029 1.27640507642206   1.1501915
2456693.500000000       6.32741   3.70340 1.27706525257094   1.1357710
2456694.500000000       7.22712   4.08557 1.27771711380904   1.1214145
2456695.500000000       8.12756   4.46670 1.27836071937948   1.1071961
2456696.500000000       9.02879   4.84669 1.27899616493250   1.0931634
2456697.500000000       9.93089   5.22544 1.27962356626279   1.0793468
2456698.500000000      10.83394   5.60287 1.28024305403860   1.0657644
2456699.500000000      11.73800   5.97886 1.28085476768173   1.0524291
2456700.500000000      12.64314   6.35333 1.28145885204213   1.0393470
2456701.500000000      13.54945   6.72619 1.28205545343102   1.0265182
2456702.500000000      14.45700   7.09733 1.28264471685578   1.0139364
2456703.500000000      15.36586   7.46668 1.28322678109597   1.0015866
2456704.500000000      16.27611   7.83412 1.28380177305030   0.9894408
2456705.500000000      17.18783   8.19957 1.28436980070995   0.9774657
